replicate,seed,episode_heterogeneity,temporal_structure,split_method,model,event_prevalence,auroc,status,runtime_seconds
8,50,True,True,row_wise,boosted_trees,0.36213991769547327,0.8604920169436298,ok,2.299051030073315
9,51,True,True,grouped,boosted_trees,0.4539130434782609,0.6669351099397223,ok,1.7062322549754754
9,51,True,True,row_wise,boosted_trees,0.4539130434782609,0.8284891524513753,ok,1.7120843048905954
10,52,True,True,grouped,boosted_trees,0.3851963746223565,0.4615888615888616,ok,3.5574273940874264
10,52,True,True,row_wise,boosted_trees,0.3851963746223565,0.8400154164860048,ok,3.5649028960615396
11,53,True,True,grouped,boosted_trees,0.585480093676815,0.3199209039548022,ok,1.9619315910385922
11,53,True,True,row_wise,boosted_trees,0.585480093676815,0.8772655367231639,ok,1.9683554410003126
12,54,True,True,grouped,boosted_trees,0.5557851239669421,0.5449295409354198,ok,2.5153946420177817
12,54,True,True,row_wise,boosted_trees,0.5557851239669421,0.8405809630846374,ok,2.5217148680239916
13,55,True,True,grouped,boosted_trees,0.5495327102803739,0.504022355830299,ok,2.9706087650265545
13,55,True,True,row_wise,boosted_trees,0.5495327102803739,0.817399158833658,ok,2.9768174489727244
14,56,True,True,grouped,boosted_trees,0.46735905044510384,0.48290224167661494,ok,2.58848351391498
14,56,True,True,row_wise,boosted_trees,0.46735905044510384,0.7327850731750452,ok,2.5955828729784116
15,57,True,True,grouped,boosted_trees,0.4843492586490939,0.6354024037730108,ok,2.448514777002856
15,57,True,True,row_wise,boosted_trees,0.4843492586490939,0.8534154876007911,ok,2.453758093994111
16,58,True,True,grouped,boosted_trees,0.547576301615799,0.6200494405412438,ok,3.197352697025053
16,58,True,True,row_wise,boosted_trees,0.547576301615799,0.8270882123341139,ok,3.207173240953125
17,59,True,True,grouped,boosted_trees,0.5969498910675382,0.5812783586506214,ok,2.667519312002696
17,59,True,True,row_wise,boosted_trees,0.5969498910675382,0.8097060564213849,ok,2.6738454499281943
18,60,True,True,grouped,boosted_trees,0.366120218579235,0.6608458247555327,ok,1.8821009689709172
18,60,True,True,row_wise,boosted_trees,0.366120218579235,0.8777100488934637,ok,1.8883016880135983
19,61,True,True,grouped,boosted_trees,0.5425531914893617,0.44550843593251255,ok,1.7886875430122018
19,61,True,True,row_wise,boosted_trees,0.5425531914893617,0.7989562750164666,ok,1.7960401630261913
20,62,True,True,grouped,boosted_trees,0.3855932203389831,0.6044334975369458,ok,1.8098326940089464
20,62,True,True,row_wise,boosted_trees,0.3855932203389831,0.8222306429202979,ok,1.8157330920221284
21,63,True,True,grouped,boosted_trees,0.4883720930232558,0.6667718855218855,ok,1.6751115929801017
21,63,True,True,row_wise,boosted_trees,0.4883720930232558,0.8875060125060126,ok,1.6793216820806265
22,64,True,True,grouped,boosted_trees,0.45054945054945056,0.5831639566395664,ok,1.4920242280932143
22,64,True,True,row_wise,boosted_trees,0.45054945054945056,0.8535094850948508,ok,1.4972842970164493
23,65,True,True,grouped,boosted_trees,0.5456475583864119,0.37275900941852436,ok,1.437600345001556
23,65,True,True,row_wise,boosted_trees,0.5456475583864119,0.8726317320629842,ok,1.442780821933411
24,66,True,True,grouped,boosted_trees,0.5283363802559415,0.5942705399533275,ok,1.5683127279626206
24,66,True,True,row_wise,boosted_trees,0.5283363802559415,0.8381883533167029,ok,1.573888201965019
25,67,True,True,grouped,boosted_trees,0.41409691629955947,0.5008798592225243,ok,1.6243591129314154
25,67,True,True,row_wise,boosted_trees,0.41409691629955947,0.7891270730016532,ok,1.630190022988245
26,68,True,True,grouped,boosted_trees,0.4188562596599691,0.5548107874695768,ok,1.530754426959902
26,68,True,True,row_wise,boosted_trees,0.4188562596599691,0.8265584517547303,ok,1.5365728019969538
27,69,True,True,grouped,boosted_trees,0.44552845528455287,0.5881156752359955,ok,1.6726578780217096
27,69,True,True,row_wise,boosted_trees,0.44552845528455287,0.7751139842027528,ok,1.67864650208503
28,70,True,True,grouped,boosted_trees,0.45606060606060606,0.5264253787282873,ok,1.8001258609583601
28,70,True,True,row_wise,boosted_trees,0.45606060606060606,0.8457139155461368,ok,1.8062961529940367
29,71,True,True,grouped,boosted_trees,0.5845213849287169,0.6921500307440049,ok,1.315955357044004
29,71,True,True,row_wise,boosted_trees,0.5845213849287169,0.8313349730135956,ok,1.3245712370844558
