replicate,seed,episode_fingerprint,shared_event_time,split_method,model,event_prevalence,n_eligible,auroc,status,runtime_seconds
17,59,False,True,row_wise,boosted_trees,0.4691358024691358,567,0.5219443958734045,ok,2.223639642004855
18,60,False,True,grouped,boosted_trees,0.573170731707317,574,0.4799206004590286,ok,2.267242845031433
18,60,False,True,row_wise,boosted_trees,0.573170731707317,574,0.5021090503070529,ok,2.273859314969741
19,61,False,True,grouped,boosted_trees,0.46835443037974683,553,0.456150027578599,ok,2.043478091014549
19,61,False,True,row_wise,boosted_trees,0.46835443037974683,553,0.5212355212355212,ok,2.0497237710515037
20,62,False,True,grouped,boosted_trees,0.4522184300341297,586,0.4890730617762888,ok,2.0225187320029363
20,62,False,True,row_wise,boosted_trees,0.4522184300341297,586,0.510062893081761,ok,2.029392078984529
21,63,False,True,grouped,boosted_trees,0.6495238095238095,525,0.5718236006630116,ok,2.2596957689384
21,63,False,True,row_wise,boosted_trees,0.6495238095238095,525,0.5376928471248247,ok,2.26634945103433
22,64,False,True,grouped,boosted_trees,0.6153846153846154,416,0.61395263671875,ok,2.655750025063753
22,64,False,True,row_wise,boosted_trees,0.6153846153846154,416,0.6754638671875,ok,2.6618114260490984
23,65,False,True,grouped,boosted_trees,0.6509635974304069,467,0.48223078785921863,ok,2.1508547799894586
23,65,False,True,row_wise,boosted_trees,0.6509635974304069,467,0.5510776557959316,ok,2.1565508419880643
24,66,False,True,grouped,boosted_trees,0.576797385620915,612,0.47167685694597883,ok,1.8508226420963183
24,66,False,True,row_wise,boosted_trees,0.576797385620915,612,0.5540157721460838,ok,1.856897725025192
25,67,False,True,grouped,boosted_trees,0.5107361963190185,652,0.47985916951434193,ok,2.1226613799808547
25,67,False,True,row_wise,boosted_trees,0.5107361963190185,652,0.5219482805689702,ok,2.128216807032004
26,68,False,True,grouped,boosted_trees,0.4260731319554849,629,0.47991689750692523,ok,2.008301460999064
26,68,False,True,row_wise,boosted_trees,0.4260731319554849,629,0.5172613387356844,ok,2.0140693839639425
27,69,False,True,grouped,boosted_trees,0.5,650,0.5178934911242604,ok,1.8684507989091799
27,69,False,True,row_wise,boosted_trees,0.5,650,0.5229254437869822,ok,1.8741739719407633
28,70,False,True,grouped,boosted_trees,0.444947209653092,663,0.4654753131908622,ok,1.899206362082623
28,70,False,True,row_wise,boosted_trees,0.444947209653092,663,0.5237978997789241,ok,1.9054368149954826
29,71,False,True,grouped,boosted_trees,0.5279605263157895,608,0.5734583781084805,ok,1.8638455079635605
29,71,False,True,row_wise,boosted_trees,0.5279605263157895,608,0.5792492971658688,ok,1.8696990240132436
0,42,True,False,grouped,boosted_trees,0.49,600,0.5124938864434664,ok,1.6682348999893293
0,42,True,False,row_wise,boosted_trees,0.49,600,0.49937752878929353,ok,1.6744076739996672
1,43,True,False,grouped,boosted_trees,0.45666666666666667,600,0.5337759168868389,ok,1.828073863987811
1,43,True,False,row_wise,boosted_trees,0.45666666666666667,600,0.5446912363978326,ok,1.8345051989890635
2,44,True,False,grouped,boosted_trees,0.5,600,0.4998222222222222,ok,2.073900848045014
2,44,True,False,row_wise,boosted_trees,0.5,600,0.4875111111111111,ok,2.08015272510238
